id,address,x,y,z,stay,timestamp,bs_address,sample_time,sample_batch
4475,03D2C30A,2.4934068993236798,-3.710203796540077,0.8,1,1666596573104,01370022,"2022-10-24,15:29:33",29
4476,03D2C30A,2.618241870630048,-3.710865465999298,0.8,0,1666596573224,01370022,"2022-10-24,15:29:33",29
4477,03D2C30A,2.7010608278105286,-3.711304435737004,0.8,0,1666596573354,01370022,"2022-10-24,15:29:33",29
4478,03D2C30A,2.7690139993218343,-3.711664611557735,0.8,0,1666596573494,01370022,"2022-10-24,15:29:33",29
4479,03D2C30A,2.815274273162684,-3.711909807355478,0.8,0,1666596573624,01370022,"2022-10-24,15:29:33",29
4480,03D2C30A,2.815274273162684,-3.711909807355478,0.8,1,1666596573764,01370022,"2022-10-24,15:29:33",29
4481,03D2C30A,2.9303684090713635,-3.7125198469451,0.8,0,1666596573894,01370022,"2022-10-24,15:29:34",29
4482,03D2C30A,2.9251138920974182,-3.7124919961484184,0.8,0,1666596574024,01370022,"2022-10-24,15:29:34",29
4483,03D2C30A,3.639299017253099,-2.7717119669800985,0.8,0,1666596575014,01370022,"2022-10-24,15:29:35",29
4484,03D2C30A,3.8180094685730235,-2.6904974815584977,0.8,0,1666596575134,01370022,"2022-10-24,15:29:35",29
4485,03D2C30A,3.9790426318067147,-2.613675073920254,0.8,0,1666596575254,01370022,"2022-10-24,15:29:35",29
4486,03D2C30A,3.971015266297499,-2.487066397001046,0.8,0,1666596575384,01370022,"2022-10-24,15:29:35",29
4487,03D2C30A,3.9496793741678284,-2.3655483335741834,0.8,0,1666596575524,01370022,"2022-10-24,15:29:35",29
4488,03D2C30A,3.9001519115721157,-1.8655795323778945,0.8,0,1666596575905,01370022,"2022-10-24,15:29:36",29
4489,03D2C30A,3.865302577929606,-1.680871222726838,0.8,0,1666596576044,01370022,"2022-10-24,15:29:36",29
4490,03D2C30A,3.8376944480958968,-1.5385912767367773,0.8,0,1666596576154,01370022,"2022-10-24,15:29:36",29
4491,03D2C30A,3.662820616465163,-0.7318791485455303,0.8,0,1666596576644,01370022,"2022-10-24,15:29:36",29
4492,03D2C30A,3.5384508779143484,-0.3232061211619899,0.8,0,1666596576885,01370022,"2022-10-24,15:29:37",29
4493,03D2C30A,3.4687464364844343,-0.1096345367296011,0.8,0,1666596577015,01370022,"2022-10-24,15:29:37",29
4494,03D2C30A,3.385107502282639,0.037097019818489826,0.8,0,1666596577124,01370022,"2022-10-24,15:29:37",29
4495,03D2C30A,3.1628949474912273,0.3683346941495522,0.8,0,1666596577374,01370022,"2022-10-24,15:29:37",29
